epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.279,1.09377,2.70114,1.52282,0.80925,0.41452,0.46647,0.31474,1.12198,2.70121,1.61659,0.00036663,0.00036663,0.00036663
2,234.893,1.06924,1.83364,1.44988,0.65873,0.49411,0.50174,0.3108,1.28949,2.88453,1.80308,0.000722371,0.000722371,0.000722371
3,351.781,1.06469,1.66842,1.42347,0.65348,0.57713,0.54561,0.33767,1.21539,2.57266,1.76551,0.00106345,0.00106345,0.00106345
4,469.175,1.0515,1.52784,1.407,0.6967,0.56398,0.59487,0.3718,1.20712,2.2727,1.82185,0.00104501,0.00104501,0.00104501
5,587.09,1.0321,1.44875,1.41039,0.71051,0.6003,0.60548,0.3774,1.50975,1.98215,2.22348,0.00102301,0.00102301,0.00102301
6,701.905,0.96722,1.22655,1.3609,0.7454,0.64238,0.62621,0.40592,1.23776,2.10863,1.69855,0.00100101,0.00100101,0.00100101
7,815.987,0.94351,1.10951,1.33791,0.81511,0.64143,0.65323,0.42474,1.1495,1.52138,1.67819,0.000979013,0.000979013,0.000979013
8,929.845,0.93979,1.07263,1.32529,0.89362,0.61286,0.6748,0.42735,1.24942,1.31804,1.82981,0.000957015,0.000957015,0.000957015
9,1043.74,0.90663,0.95062,1.30379,0.92118,0.62048,0.68987,0.48634,1.13194,1.34679,1.65557,0.000935018,0.000935018,0.000935018
10,1157.4,0.92055,0.96121,1.30209,0.8702,0.66291,0.70905,0.40318,1.19719,1.35387,1.67784,0.00091302,0.00091302,0.00091302
11,1271.32,0.86182,0.85493,1.26838,0.87194,0.67048,0.69956,0.48491,1.03238,1.10465,1.52973,0.000891022,0.000891022,0.000891022
12,1385.15,0.85214,0.85197,1.25615,0.81637,0.76858,0.76193,0.501,1.13975,1.14312,1.67013,0.000869024,0.000869024,0.000869024
13,1499.01,0.85156,0.85461,1.24889,0.85031,0.64779,0.68407,0.44625,1.18348,1.35533,1.66215,0.000847026,0.000847026,0.000847026
14,1613.08,0.7889,0.78681,1.21254,0.83547,0.74581,0.76898,0.52733,1.11946,0.98049,1.5818,0.000825029,0.000825029,0.000825029
15,1727.21,0.80815,0.75515,1.24463,0.79701,0.68326,0.71466,0.46167,1.40065,1.07884,1.97923,0.000803031,0.000803031,0.000803031
16,1840.38,0.78248,0.71153,1.22763,0.75613,0.80915,0.79735,0.55102,1.0083,0.88401,1.4861,0.000781033,0.000781033,0.000781033
17,1954.35,0.80184,0.72386,1.22759,0.7794,0.80375,0.81756,0.54738,1.0013,0.83036,1.46097,0.000759035,0.000759035,0.000759035
18,2068.77,0.75035,0.66426,1.20599,0.89491,0.80017,0.81275,0.534,1.0222,0.84804,1.53734,0.000737037,0.000737037,0.000737037
19,2182.17,0.7322,0.68172,1.18568,0.90494,0.77555,0.83059,0.56868,1.04973,0.8208,1.51353,0.00071504,0.00071504,0.00071504
20,2296.08,0.75843,0.67272,1.21006,0.85013,0.7777,0.83633,0.53617,1.00671,0.79875,1.46894,0.000693042,0.000693042,0.000693042
21,2409.35,0.71046,0.64628,1.17633,0.8898,0.78714,0.78663,0.53082,0.99299,0.87479,1.53171,0.000671044,0.000671044,0.000671044
22,2522.79,0.7026,0.63779,1.15898,0.84101,0.8181,0.81865,0.56799,0.92843,0.74782,1.40173,0.000649046,0.000649046,0.000649046
23,2637.45,0.6892,0.59202,1.15047,0.89541,0.83048,0.84901,0.58676,0.91715,0.76427,1.3798,0.000627048,0.000627048,0.000627048
24,2749.72,0.67797,0.57978,1.1555,0.86249,0.79381,0.81929,0.56313,0.90839,0.77634,1.38313,0.000605051,0.000605051,0.000605051
25,2862.03,0.67471,0.5882,1.14938,0.8642,0.76252,0.79532,0.54202,1.12479,0.90215,1.53643,0.000583053,0.000583053,0.000583053
26,2974.78,0.664,0.56133,1.1407,0.88013,0.78944,0.8263,0.56523,0.9605,0.7473,1.41572,0.000561055,0.000561055,0.000561055
27,3086.39,0.67471,0.55185,1.12984,0.83899,0.81952,0.84639,0.56354,0.98606,0.70591,1.45765,0.000539057,0.000539057,0.000539057
28,3198.2,0.64037,0.53617,1.12494,0.91209,0.8201,0.84892,0.57642,0.95658,0.66968,1.40855,0.000517059,0.000517059,0.000517059
29,3309.58,0.63666,0.54456,1.12353,0.93252,0.81381,0.87713,0.58848,0.93099,0.67488,1.37958,0.000495062,0.000495062,0.000495062
30,3421.78,0.65447,0.52251,1.12835,0.9255,0.79381,0.85773,0.58874,0.9294,0.67764,1.41286,0.000473064,0.000473064,0.000473064
31,3535.3,0.62453,0.51335,1.11665,0.79992,0.82381,0.82307,0.56189,0.91174,0.71002,1.37997,0.000451066,0.000451066,0.000451066
32,3647.45,0.63526,0.50253,1.11447,0.91502,0.75048,0.84003,0.58445,0.87573,0.66175,1.31981,0.000429068,0.000429068,0.000429068
33,3759.9,0.61409,0.50138,1.09574,0.92069,0.79714,0.83756,0.59668,0.86912,0.71875,1.34674,0.00040707,0.00040707,0.00040707
34,3872.1,0.59011,0.47284,1.08579,0.86091,0.83381,0.86992,0.60731,0.91445,0.64007,1.38045,0.000385073,0.000385073,0.000385073
35,3984.37,0.60674,0.49325,1.10111,0.89558,0.85166,0.89312,0.63393,0.82773,0.59666,1.28714,0.000363075,0.000363075,0.000363075
36,4097.73,0.55946,0.45705,1.06711,0.8328,0.90714,0.89041,0.65352,0.80066,0.58912,1.25219,0.000341077,0.000341077,0.000341077
37,4210.63,0.57742,0.4626,1.08433,0.87642,0.81674,0.85006,0.60918,0.8323,0.6043,1.31191,0.000319079,0.000319079,0.000319079
38,4322.81,0.56335,0.44884,1.0794,0.83394,0.84083,0.87564,0.6339,0.85406,0.60787,1.29677,0.000297081,0.000297081,0.000297081
39,4436.03,0.55248,0.44089,1.06421,0.82421,0.89381,0.8875,0.63319,0.79722,0.57199,1.27323,0.000275084,0.000275084,0.000275084
40,4550.48,0.55941,0.42887,1.06385,0.89356,0.83048,0.8925,0.6203,0.84694,0.56493,1.31712,0.000253086,0.000253086,0.000253086
41,4663.97,0.48362,0.37927,1.04849,0.90371,0.84714,0.90362,0.62252,0.83556,0.57851,1.30346,0.000231088,0.000231088,0.000231088
42,4777.17,0.47159,0.35629,1.03821,0.84374,0.94826,0.90039,0.62135,0.8278,0.59807,1.28222,0.00020909,0.00020909,0.00020909
43,4888.88,0.47009,0.35136,1.02863,0.84341,0.93612,0.90539,0.65017,0.81682,0.62824,1.26836,0.000187092,0.000187092,0.000187092
44,4999.04,0.44268,0.36195,1.01426,0.90681,0.85419,0.92108,0.66055,0.78862,0.53831,1.26287,0.000165095,0.000165095,0.000165095
45,5109.07,0.43005,0.33125,0.99936,0.86296,0.90048,0.91601,0.63409,0.81503,0.53576,1.27717,0.000143097,0.000143097,0.000143097
46,5219.69,0.43208,0.31842,0.99902,0.88297,0.87481,0.91031,0.63965,0.79311,0.54356,1.27668,0.000121099,0.000121099,0.000121099
47,5330.44,0.40618,0.30594,0.97793,0.89076,0.90179,0.91385,0.62754,0.79387,0.53513,1.28009,9.91012e-05,9.91012e-05,9.91012e-05
48,5443.31,0.4034,0.30015,0.99315,0.89329,0.89714,0.92351,0.6455,0.80352,0.54252,1.28174,7.71034e-05,7.71034e-05,7.71034e-05
49,5555.48,0.40507,0.30859,0.99322,0.89028,0.89714,0.92541,0.64969,0.79318,0.52556,1.2631,5.51056e-05,5.51056e-05,5.51056e-05
50,5667.36,0.38553,0.29139,0.96454,0.87903,0.90991,0.9241,0.65231,0.78579,0.52248,1.25587,3.31078e-05,3.31078e-05,3.31078e-05
